scan:141	SNR:9.09091	Cov:0.5
scan:142	SNR:10.9489	Cov:0.234375
scan:143	SNR:10.6557	Cov:0.433333
scan:144	SNR:5.10949	Cov:0.456522
scan:145	SNR:18.1818	Cov:0.222222
scan:146	SNR:7.24638	Cov:0.576923
scan:147	SNR:7.63636	Cov:0.875
scan:148	SNR:7.56757	Cov:0.21875
scan:149	SNR:8.66426	Cov:0.75
scan:150	SNR:8.53659	Cov:0.538462
scan:151	SNR:5.6338	Cov:0.195122
scan:152	SNR:5.88235	Cov:0.35
scan:153	SNR:7.03125	Cov:0.28125
scan:154	SNR:5.45455	Cov:0.352941
scan:155	SNR:4.5045	Cov:0.25
scan:156	SNR:4.46009	Cov:0.413043
scan:157	SNR:4.53515	Cov:0.526316
scan:158	SNR:11.5607	Cov:0.322581
scan:159	SNR:5.19481	Cov:0.444444
scan:160	SNR:6.09756	Cov:0.185185
scan:161	SNR:4.22078	Cov:0.382353
scan:162	SNR:3.74332	Cov:0.411765
scan:163	SNR:6.56371	Cov:0.653846
scan:164	SNR:6.66667	Cov:0.527778
scan:165	SNR:7.33945	Cov:0.285714
scan:166	SNR:11.3861	Cov:0.338235
scan:167	SNR:14	Cov:0.456522
scan:168	SNR:23.7288	Cov:0.608696
scan:169	SNR:12.234	Cov:0.359375
scan:170	SNR:5.05051	Cov:0.16129
scan:171	SNR:9.59596	Cov:0.306452
scan:172	SNR:16.7742	Cov:0.5
scan:173	SNR:9.13706	Cov:0.333333
scan:174	SNR:7.02341	Cov:0.477273
scan:175	SNR:13.5417	Cov:0.448276
scan:176	SNR:4.28135	Cov:0.333333
scan:177	SNR:1.07527	Cov:0.0681818
scan:178	SNR:13.3333	Cov:0.5625
scan:179	SNR:11.9816	Cov:0.419355
scan:180	SNR:5.94406	Cov:1.0625
scan:181	SNR:11.3744	Cov:0.666667
scan:182	SNR:9.60452	Cov:0.607143
scan:183	SNR:10.1695	Cov:0.444444
scan:184	SNR:6.11511	Cov:0.53125
scan:185	SNR:6.79612	Cov:0.617647
scan:186	SNR:3.76569	Cov:0.428571
scan:187	SNR:6.43939	Cov:0.85
scan:188	SNR:13.4921	Cov:0.404762
scan:189	SNR:2.51572	Cov:0.2
scan:190	SNR:5.42636	Cov:0.333333
scan:191	SNR:7.11744	Cov:0.416667
scan:192	SNR:9.69163	Cov:0.354839
scan:193	SNR:7.48899	Cov:0.34
scan:194	SNR:6.6092	Cov:0.396552
scan:195	SNR:16.9231	Cov:0.55
scan:196	SNR:7.76398	Cov:0.833333
scan:197	SNR:5.80357	Cov:0.382353
scan:198	SNR:5	Cov:0.202703
scan:199	SNR:6.02837	Cov:0.283333
scan:200	SNR:2.35756	Cov:0.230769
scan:201	SNR:4.33437	Cov:0.28
scan:202	SNR:4.69799	Cov:0.333333
scan:203	SNR:9.34959	Cov:0.605263
scan:204	SNR:7.0632	Cov:0.633333
scan:205	SNR:8.01688	Cov:0.791667
scan:206	SNR:6.99301	Cov:0.3125
scan:207	SNR:5.65476	Cov:0.256757
scan:208	SNR:12.1019	Cov:0.351852
scan:209	SNR:3.86473	Cov:0.363636
scan:210	SNR:11.6667	Cov:0.25
scan:211	SNR:5.39568	Cov:0.394737
scan:212	SNR:7.83582	Cov:0.403846
scan:213	SNR:13.0841	Cov:0.933333
scan:214	SNR:2.62391	Cov:0.236842
scan:215	SNR:6.76328	Cov:0.583333
scan:216	SNR:11.3636	Cov:0.714286
scan:217	SNR:7.56303	Cov:0.692308
scan:218	SNR:9.89583	Cov:0.395833
scan:219	SNR:7.30769	Cov:0.5
scan:220	SNR:8.88158	Cov:0.409091
scan:221	SNR:5.2381	Cov:0.229167
scan:222	SNR:3.65591	Cov:0.369565
scan:223	SNR:11.3514	Cov:0.617647
scan:224	SNR:3.14961	Cov:0.190476
scan:225	SNR:3.7464	Cov:0.40625
scan:226	SNR:7.23684	Cov:0.157143
scan:227	SNR:9.19118	Cov:0.328947
scan:228	SNR:5.3125	Cov:0.404762
scan:229	SNR:8.57143	Cov:0.391304
scan:230	SNR:3.91304	Cov:0.236842
scan:231	SNR:3.23383	Cov:0.382353
scan:232	SNR:5.08475	Cov:0.5
scan:233	SNR:6.13208	Cov:0.209677
scan:234	SNR:9.60699	Cov:0.647059
scan:235	SNR:8.03571	Cov:0.321429
scan:236	SNR:5.45906	Cov:0.44
scan:237	SNR:4	Cov:0.5
scan:238	SNR:10.3704	Cov:0.184211
scan:239	SNR:4.1958	Cov:0.166667
scan:240	SNR:8.83534	Cov:0.407407
scan:241	SNR:5.07812	Cov:0.282609
scan:242	SNR:2.64901	Cov:0.153846
scan:243	SNR:8.8983	Cov:0.617647
scan:244	SNR:10.5485	Cov:1.38889
scan:245	SNR:9.22509	Cov:0.328947
scan:246	SNR:5.15464	Cov:0.5
scan:247	SNR:4.42478	Cov:0.3125
scan:248	SNR:14.0351	Cov:0.631579
scan:249	SNR:5	Cov:0.444444
scan:250	SNR:2.05479	Cov:0.15
scan:251	SNR:10.2041	Cov:0.37037
scan:252	SNR:4.24242	Cov:0.291667
scan:253	SNR:6.39098	Cov:0.274194
scan:254	SNR:6.72646	Cov:0.416667
scan:255	SNR:6.45161	Cov:0.545455
scan:256	SNR:7.04698	Cov:0.35
scan:257	SNR:3.7464	Cov:0.295455
scan:258	SNR:11.0132	Cov:0.657895
scan:259	SNR:5.04202	Cov:0.428571
